Artist,Song Title,Lyrics,Year,Artists Collaborated,Year Collaborated
Bobby Darin,Mack The Knife,"Oh the shark, babe Has such teeth, dear And he shows them Pearly white Just a jackknife Has old Macheath, babe And he keeps it Out of sight  You know when that shark bites With his teeth, babe Scarlet billows Start to spread Fancy gloves, though Wears ol' Macheath, babe So there's never, never a trace of red  Now, on the side walk, ooh Sunday morning, uh huh Lies a body just oozing life. EEK! And someone's sneaking round the corner Could that someone be Mack the Knife?  There's a tugboat down by the river, don't you know Where a cement bag's just a drooping on down Oh that cement is just, it's there for the weight, dear Five'll get ya ten, ol' Mackie's back in town  Now did ya hear 'bout Louie Miller? He disappeared, babe After drawing out all his hard earned cash And now Macheath spends, just like a sailor Could it be, our boy's done something rash?  Now, Jenny Diver, Suky Tawdry Oh, Miss Lotte Lenya, and ol' Lucy Brown Oh the line forms on the right, babe Now that Mackie's back in town  I said, Jenny Diver, oh Suky Tawdry Look out, Miss Lotte Lenya, and ol' Lucy Brown Yes, that line forms on the right, babe Now that Mackie's back in town Look out ol' Mackie is back!",1959,Johnny Mercer,1961
Johnny Horton,The Battle Of New Orleans,"[Verse 1] In 1814 we took a little trip Along with Colonel Jackson down the mighty Mississip We took a little bacon and we took a little beans And we caught the bloody British in a town near New Orleans  [Chorus] We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they begin to runnin' On down the Mississippi to the Gulf of Mexico  [Verse 2] We looked down a river (Hut-two) And we see'd the British come (Three-four) And there must have been a hundred of'em (Hut-two) Beatin' on the drums (Three-four) They stepped so high (Hut-two) And they made their bugles ring (Three-four) We stood beside our cotton bales (Hut-two) And didn't say a thing (Two-three-four)  [Chorus] We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they begin to runnin' On down the Mississippi to the Gulf of Mexico  [Verse 3] Old Hickory said we could take 'em by surprise (One-hut, two-three-four) If we didn't fire our muskets (One-hut, two-three-four) 'Till we looked 'em in the eye (One-hut, two-three-four) We held our fire (Hut, two-three-four) 'Till we see their faces well Then we opened up our squirrel guns And really gave 'em - well we  [Chorus] Fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they begin to runnin' On down the Mississippi to the Gulf of Mexico  [Verse 4] Yeah, they ran through the briars (One-hup-two) And they ran through the brambles (Hup-two-three-four) And they ran through the bushes (Hup-two) Where the rabbit couldn't go (Hup-two-three-four) They ran so fast (Hup-two) That the hounds couldn't catch 'em (One-two-three-four) On down the Mississippi to the Gulf of Mexico (One-two, hup-two-three-four)  [Verse 5] We fired our cannon 'til the barrel melted down So we grabbed an alligator and we fired another round We filled his head with cannon balls, and powdered his behind And when we touched the powder off the gator lost his mind  [Chorus] We fired our guns and the British kept a-comin' There wasn't nigh as many as there was a while ago We fired once more and they begin to runnin' On down the Mississippi to the Gulf of Mexico  [Verse 4] Yeah, they ran through the briars (Hup-one-two) And they ran through the brambles (One-two-three-four) And they ran through the bushes (Hup-two) Where the rabbit couldn't go (Hup-two-three-four) They ran so fast (Hup-two) That the hounds couldn't catch 'em (One-two-three-four) On down the Mississippi to the Gulf of Mexico",1959,Johnny Cash,1959
Lloyd Price,Personality,"Over and over I tried to prove my love to you Over and over What more can I do  Over and over My friend says I'm a fool But over and over I'll be a fool for you  Cause you got personality Walk (with personality) Talk (with personality) Smile (with personality) Charm (with personality) Love (with personality) And plus you've got A great big heart  So over and over Oh, I'll be a fool for you Now over and over What more can I do  Cause you got personality Walk (with personality) Talk (with personality) Smile (with personality) Charm (with personality) Love (with personality) And plus you've got A great big heart  So over and over Whoa, I'll be a fool for you Now over and over What more can I do  Over and over I said that I love you Over and over, honey Now it's the truth  Over and over They still say I'm a fool But over and over I'll be a fool for you  Cause you got personality Walk (with personality) Talk (with personality) Smile (with personality) Charm (with personality) Love (with personality) And plus you've got A great big heart  So over and over Whoa, I'll be a fool for you Now over and over What more can I do",1959,Elvis Presley,1956
Frankie Avalon,Venus,"Hey, Venus! Oh, Venus!  Venus, if you will Please send a little girl for me to thrill A girl who wants my kisses and my arms A girl with all the charms of you  Venus, make her fair A lovely girl with sunlight in her hair And take the brightest stars up in the skies And place them in her eyes for me  Venus, goddess of love that you are Surely the things I ask Can't be too great a task  Venus, if you do I promise that I always will be true I'll give her all the love I have to give As long as we both shall live  Venus, goddess of love that you are Surely the things I ask Can't be too great a task  Venus, if you do I promise that I always will be true I'll give her all the love I have to give As long as we both shall live  Hey, Venus! Oh, Venus! Make my wish come true",1959,Annette Funicello,1963
Paul Anka,Lonely Boy,"I'm just a lonely boy Lonely and blue I'm all alone With nothin' to do  I've got everything You could think of But all I want Is someone to love  Someone, yes someone to love Someone to kiss Someone to hold At a moment like this  I'd like to hear Somebody say I'll give you my love Each night and day  I'm just a lonely boy Lonely and blue I'm all alone With nothin' to do  I've got everything You could think of But all I want Is someone to love  Somebody, somebody, somebody, please Send her to me I'll make her happy Just wait and see  I've prayed so hard To the heavens above That I might find Someone to love  I'm just a lonely boy Lonely and blue I'm all alone With nothin' to do  I've got everything",1959,Michael Jackson,1983
Bobby Darin,Dream Lover,"[Verse 1] Every night I hope and pray A dream lover will come my way A girl to hold in my arms And know the magic of her charms  [Chorus 1] Cause I want (yeah-yeah, yeah) A girl (yeah-yeah, yeah) To call (yeah-yeah, yeah) My own (yeah-yeah, yeah) I want a dream lover So I don't have to dream alone  [Chorus 2] Dream lover, where are you With a love, oh, so true And the hand that I can hold To feel you near as I grow old  [Chorus 1] Cause I want (yeah-yeah, yeah) A girl (yeah-yeah, yeah) To call (yeah-yeah, yeah) My own (yeah-yeah, yeah) I want a dream lover So I don't have to dream alone  [Bridge] Someday, I don't know how I hope she'll hear my plea Some way, I don't know how She'll bring her love to me  [Chorus 2] Dream lover, until then I'll go to sleep and dream again That's the only thing to do Till all my lover's dreams come true  [Chorus 1] Cause I want (yeah-yeah, yeah) A girl (yeah-yeah, yeah) To call (yeah-yeah, yeah) My own (yeah-yeah, yeah) I want a dream lover So I don't have to dream alone  [Chorus 2] Dream lover, until then I'll go to sleep and dream again That's the only thing to do Till all my lover's dreams come true  [Chorus 1] Cause I want (yeah-yeah, yeah) A girl (yeah-yeah, yeah) To call (yeah-yeah, yeah) My own (yeah-yeah) I want a dream lover So I don't have to dream alone  [Outro] Please don't make me dream alone I beg you don't make me dream alone No, I don't wanna dream alone",1959,Johnny Mercer,1961
Browns,The Three Bells,"There's a village, hidden deep in the valley Among the pine trees, half forlorn And there, on a sunny morning Little Jimmy Brown was born  All the chapel bells were ringing In the little valley town And the song that they were singing Was for baby Jimmy Brown  Then the little congregation Prayed for guidance from above ""Lead us not into temptation Bless this hour of meditation Guide him with eternal love.""  There's a village, hidden deep in the valley Beneath the mountains high above And there, twenty years thereafter Jimmy was to meet his love  All the chapel bells were ringing 'Twas a great day in his life Cause the song that they were singing Was for Jimmy and his wife  Then the little congregation Prayed for guidance from above ""Lead us not into temptation Bless, O Lord, this celebration May their lives be filled with love.""  From the village, hidden deep in the valley One rainy morning dark and gray A soul winged its way to Heaven Jimmy Brown had passed away  Just one lonely bell was ringing In the little valley town 'Twas farewell that it was singing To our dear old Jimmy Brown  And the little congregation Prayed for guidance from above ""Lead us not into temptation May his soul find the salvation Of thy great eternal love.""",1959,Virgil Abloh,2018
Fleetwoods,Come Softly To Me,"Doo dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo  (Come softly, darling) Dum dum, dum doo dum, dooby doo (Come softly, darling) Dum dum, dum doo dum, dooby doo (Come softly, darling) Dum dum, dum doo dum, dooby doo (Come softly, darling) Dum dum, dum doo dum, dooby doo  (Come softly, darling) Dum dum, dum doo dum, dooby doo (Come to me, stay) Dum dum, dum doo dum, dooby doo (You're my obsession) Dum dum, dum doo dum, dooby doo (Forever and a day) Dum dum, dum doo dum, dooby doo  I want, want you to know, dooby do I love, I love you so, doby do Please hold, hold me so tight, dooby do All through, all through the night, dooby do  (I speak softly, darling) Dum dum, dum doo dum, dooby doo (Hear what I say) Dum dum, dum doo dum, dooby doo (I love you always) Dum dum, dum doo dum, dooby doo (Always, always) Dum dum, dum doo dum, dooby doo  I've waited, waited so long, dooby do For your kisses and your love, dooby do Please come, come to me, dooby do From up, from up above, dooby do  (Come softly, darling) I want, want you to know, dooby do (Come softly, darling) I love, I love you so, dooby do (Come softly) I need, Ineed you so much, dooby do (Come softly) Want to feel your warm, warm touch, dooby do  Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo  Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo Dum dum, dum doo dum, dooby doo",1959,Lana Del Rey,2019
Wilbert Harrison,Kansas City,I'm going to Kansas City Kansas City here I come I'm going to Kansas City Kansas City here I come They got some crazy little women there And I'm gonna get me one  I'll be standing on the corner On the corner of Twelfth Street and Vine I'm gonna be standing on the corner On the corner of Twelfth Street and Vine With my Kansas City baby And a bottle of Kansas City wine  Well I might take a train I might take a plane But if I have to walk I'm gonna get there just the same I'm going to Kansas City Kansas City here I come They got some crazy little women there And I'm gonna get me one  I'm gonna pack my clothes Leave at the break of dawn I'm gonna pack my clothes Everybody will be sleeping Nobody will know where I've gone Cause if I stay in town I know I'm gonna die Gotta find a friendly city And that's the reason why I'm going to Kansas City Kansas City here I come They got some crazy little women there And I'm gonna get me one,1959,Bruce Springsteen,1973
Fleetwoods,Mr. Blue,"Our guardian star lost all his glow The day that I lost you He lost all his glitter the day you said no And his silver turned to blue  Like him, I am doubtful That your love is true But if you decide to call on me Ask for Mr. Blue  I'm Mr. Blue When you say you love me Then prove it by going out on the sly Proving your love isn't true Call me Mr. Blue  I'm Mr. Blue When you say you're sorry Then turn around, heading for the lights of town Hurtin' me through and through Call me Mr. Blue  I stay at home at night Right by the phone at night But you won't call And I won't hurt my pride Call me Mr  I won't tell you While you paint the town A bright red to turn it upside down I'm painting it too  But I'm painting it blue Call me Mr. Blue Call me Mr. Blue Call me Mr. Blue",1959,Rod Stewart,2004
